LINK_MODEL_BASED::PROCESSED::Left Hip Angles
File	Frame	X 	Y 	Z 
 - 	340	30.296583	-9.691937	5.029993
 - 	341	32.528896	-8.219753	5.007088
 - 	342	34.279518	-6.693150	4.666610
 - 	343	35.568916	-5.130239	4.106838
 - 	344	36.436554	-3.541481	3.435299
 - 	345	36.931217	-1.950200	2.745168
 - 	346	37.104336	-0.404783	2.109880
 - 	347	37.009422	1.023656	1.592578
 - 	348	36.704983	2.258237	1.257344
 - 	349	36.255135	3.239215	1.171570
 - 	350	35.725559	3.940481	1.399114
 - 	351	35.177185	4.372941	1.986249
 - 	352	34.659416	4.576858	2.935757
 - 	353	34.202129	4.609582	4.167741
 - 	354	33.806274	4.534045	5.488724
 - 	355	33.437542	4.410499	6.613128
 - 	356	33.031712	4.291413	7.264180
 - 	357	32.517586	4.217630	7.313323
 - 	358	31.851654	4.214305	6.857690
 - 	359	31.044111	4.286518	6.163059
 - 	360	30.154428	4.414420	5.501813
 - 	361	29.251780	4.548877	4.994678
 - 	362	28.358547	4.614128	4.562231
 - 	363	27.409773	4.526486	4.021734
 - 	364	26.260542	4.226045	3.265687
 - 	365	24.747860	3.700354	2.388620
 - 	366	22.770329	2.980535	1.657091
 - 	367	20.330233	2.115684	1.344075
 - 	368	17.516159	1.150482	1.561473
 - 	369	14.453876	0.120541	2.213150
 - 	370	11.265860	-0.942425	3.076437
 - 	371	8.056599	-2.008099	3.919317
 - 	372	4.917782	-3.048606	4.561869
 - 	373	1.939430	-4.037900	4.875706
 - 	374	-0.785254	-4.949159	4.776778
 - 	375	-3.165615	-5.753818	4.240463
 - 	376	-5.124125	-6.423438	3.316035
 - 	377	-6.604086	-6.932518	2.117672
 - 	378	-7.573801	-7.260903	0.801257
 - 	379	-8.031668	-7.396461	-0.455624
 - 	380	-8.012791	-7.338518	-1.471708
 - 	381	-7.591228	-7.101273	-2.089943
 - 	382	-6.871639	-6.716234	-2.217694
 - 	383	-5.970978	-6.234322	-1.864220
 - 	384	-4.998383	-5.729064	-1.148034
 - 	385	-4.040701	-5.299290	-0.258579
 - 	386	-3.151918	-5.064208	0.605660
 - 	387	-2.340445	-5.143615	1.283040
 - 	388	-1.555426	-5.625271	1.669339
 - 	389	-0.680592	-6.531608	1.733291
 - 	390	0.455070	-7.799426	1.532164
 - 	391	2.041462	-9.282253	1.205426
 - 	392	4.224844	-10.779634	0.931537
 - 	393	7.040329	-12.086202	0.864929
 - 	394	10.381811	-13.039149	1.087703
 - 	395	14.035648	-13.543558	1.595330
 - 	396	17.757454	-13.574038	2.308287
 - 	397	21.342094	-13.165040	3.093998
 - 	398	24.651951	-12.396069	3.795743
 - 	399	27.606846	-11.368248	4.269235
 - 	400	30.162897	-10.174459	4.416316
 - 	401	32.301113	-8.876720	4.200930
 - 	402	34.025337	-7.502595	3.643856
 - 	403	35.359436	-6.059175	2.805324
 - 	404	36.339474	-4.554121	1.768937
 - 	405	37.004063	-3.013537	0.636775
 - 	406	37.387646	-1.490162	-0.465629
 - 	407	37.519997	-0.058876	-1.388468
 - 	408	37.431282	1.198845	-1.974705
 - 	409	37.157444	2.214388	-2.091947
 - 	410	36.741192	2.946446	-1.662307
 - 	411	36.228649	3.385883	-0.680932
 - 	412	35.663239	3.553054	0.768430
 - 	413	35.076317	3.492419	2.494986
 - 	414	34.476143	3.267424	4.202156
 - 	415	33.841976	2.955229	5.548504
 - 	416	33.132103	2.639190	6.273810
 - 	417	32.308350	2.397890	6.324627
 - 	418	31.366859	2.291784	5.883741
 - 	419	30.353649	2.349336	5.267618
 - 	420	29.348179	2.554375	4.751960
 - 	421	28.418783	2.839288	4.432705
 - 	422	27.572342	3.093775	4.206397
 - 	423	26.726599	3.195898	3.882738
 - 	424	25.727535	3.055143	3.354078
 - 	425	24.411272	2.641390	2.696956
 - 	426	22.675920	1.981472	2.126730
 - 	427	20.516220	1.132108	1.848142
 - 	428	18.003098	0.154069	1.931794
 - 	429	15.234649	-0.898702	2.307232
 - 	430	12.300770	-1.980288	2.841739
 - 	431	9.280279	-3.053178	3.408437
 - 	432	6.255476	-4.088724	3.897626
 - 	433	3.319912	-5.064754	4.203173
 - 	434	0.572042	-5.960421	4.226247
 - 	435	-1.895967	-6.751643	3.899550
 - 	436	-4.004507	-7.410188	3.209653
 - 	437	-5.686926	-7.906979	2.203061
 - 	438	-6.890951	-8.217852	0.982493
 - 	439	-7.587536	-8.329263	-0.297345
 - 	440	-7.784649	-8.242258	-1.442250
 - 	441	-7.536198	-7.974439	-2.252097
 - 	442	-6.938320	-7.560350	-2.572988
 - 	443	-6.112576	-7.051295	-2.351492
 - 	444	-5.182413	-6.516287	-1.665826
 - 	445	-4.251589	-6.044393	-0.709014
 - 	446	-3.387762	-5.743844	0.274529
 - 	447	-2.608538	-5.729742	1.063546
 - 	448	-1.869331	-6.096811	1.511710
 - 	449	-1.058596	-6.884874	1.573022
 - 	450	-0.008028	-8.052367	1.308980
 - 	451	1.474396	-9.471704	0.872077
 - 	452	3.545891	-10.952833	0.458589
 - 	453	6.262257	-12.288953	0.244712
 - 	454	9.542168	-13.304771	0.334418
 - 	455	13.190361	-13.886398	0.738064
 - 	456	16.965752	-13.987700	1.380951
 - 	457	20.650841	-13.623234	2.129400
 - 	458	24.088318	-12.856179	2.824517
 - 	459	27.181641	-11.780014	3.319861
 - 	460	29.878664	-10.492890	3.516469
 - 	461	32.157139	-9.073373	3.382911
 - 	462	34.017159	-7.569362	2.952547
 - 	463	35.475937	-6.004023	2.302849
 - 	464	36.561386	-4.392879	1.529973
 - 	465	37.305641	-2.762421	0.731485
