LINK_MODEL_BASED::PROCESSED::Left Ankle Angles_filtered
File	Frame	X 	Y 	Z 
 - 	476	7.476098	16.494755	0.831880
 - 	477	5.984303	15.784859	1.311922
 - 	478	3.627297	13.260363	2.956285
 - 	479	1.795712	9.097080	5.119353
 - 	480	1.729601	4.366531	6.764460
 - 	481	3.577523	0.350640	7.276880
 - 	482	6.557940	-2.264766	6.863012
 - 	483	9.742825	-3.599736	6.242407
 - 	484	12.561094	-4.183178	6.039093
 - 	485	14.826573	-4.459399	6.420323
 - 	486	16.568647	-4.597145	7.153347
 - 	487	17.862940	-4.599041	7.854167
 - 	488	18.727661	-4.471093	8.175182
 - 	489	19.109829	-4.249854	7.930889
 - 	490	18.928097	-3.891957	7.225296
 - 	491	18.104897	-3.226541	6.445975
 - 	492	16.573423	-2.115870	6.006121
 - 	493	14.294241	-0.665862	6.032951
 - 	494	11.280831	0.799288	6.304769
 - 	495	7.607970	1.983065	6.470193
 - 	496	3.413552	2.769053	6.331851
 - 	497	-1.095677	3.142597	5.985451
 - 	498	-5.660885	3.087217	5.756288
 - 	499	-10.017896	2.633541	5.992949
 - 	500	-13.940022	1.985046	6.836442
 - 	501	-17.249973	1.545328	8.118888
 - 	502	-19.799843	1.726236	9.475371
 - 	503	-21.444040	2.602794	10.566139
 - 	504	-22.071341	3.763840	11.234597
 - 	505	-21.725227	4.639535	11.529308
 - 	506	-20.683279	5.012623	11.603046
 - 	507	-19.339296	5.137216	11.556175
 - 	508	-17.969460	5.390409	11.356318
 - 	509	-16.619556	5.900277	10.912047
 - 	510	-15.190516	6.473943	10.216505
 - 	511	-13.587845	6.791566	9.392105
 - 	512	-11.790981	6.671731	8.554070
 - 	513	-9.827745	6.195326	7.629544
 - 	514	-7.739553	5.590791	6.394728
 - 	515	-5.599005	5.036729	4.766985
 - 	516	-3.541030	4.617184	3.022505
 - 	517	-1.737765	4.402406	1.640309
 - 	518	-0.316998	4.447249	0.918190
 - 	519	0.716592	4.711056	0.768867
 - 	520	1.494040	5.053747	0.865258
 - 	521	2.196245	5.297223	0.929502
 - 	522	2.926978	5.318034	0.881378
 - 	523	3.670696	5.186448	0.765031
 - 	524	4.366938	5.151210	0.608859
 - 	525	4.993028	5.365656	0.405294
 - 	526	5.573195	5.719338	0.185210
 - 	527	6.145954	6.024532	0.019929
 - 	528	6.738708	6.280520	-0.061401
 - 	529	7.345021	6.711968	-0.080824
 - 	530	7.899751	7.577676	-0.012843
 - 	531	8.302614	8.913518	0.227198
 - 	532	8.528452	10.463181	0.601193
 - 	533	8.723087	11.932095	0.837685
 - 	534	9.082763	13.287025	0.685548
 - 	535	9.496166	14.656278	0.302849
 - 	536	9.328571	15.837147	0.268567
 - 	537	7.837143	15.982411	1.135183
 - 	538	5.072552	14.025364	2.927995
 - 	539	2.273289	9.695397	5.010384
 - 	540	1.049192	4.134320	6.472503
 - 	541	2.111975	-0.761115	6.803001
 - 	542	4.904396	-3.756633	6.260261
 - 	543	8.299301	-4.972321	5.580764
 - 	544	11.421843	-5.294016	5.343448
 - 	545	13.926313	-5.433280	5.616227
 - 	546	15.825122	-5.594204	6.101134
 - 	547	17.223213	-5.707324	6.458885
 - 	548	18.162666	-5.711495	6.472571
 - 	549	18.607826	-5.614376	6.069538
 - 	550	18.506950	-5.384339	5.361573
 - 	551	17.835144	-4.879731	4.648236
 - 	552	16.574186	-3.971159	4.249425
 - 	553	14.682164	-2.724264	4.288989
 - 	554	12.117862	-1.367163	4.647689
 - 	555	8.897797	-0.086565	5.071689
 - 	556	5.124480	1.031254	5.316971
 - 	557	0.977355	1.882074	5.304684
 - 	558	-3.309533	2.323783	5.231880
 - 	559	-7.484493	2.313182	5.482440
 - 	560	-11.332694	2.011740	6.314632
 - 	561	-14.715427	1.783840	7.607995
 - 	562	-17.556196	2.051902	8.975983
 - 	563	-19.776054	2.960299	10.120502
 - 	564	-21.242781	4.144349	11.005455
 - 	565	-21.824556	5.022119	11.718320
 - 	566	-21.533337	5.362589	12.284048
 - 	567	-20.596630	5.441662	12.640667
 - 	568	-19.346701	5.671601	12.719053
 - 	569	-18.024414	6.203277	12.507765
 - 	570	-16.677082	6.849697	12.076702
 - 	571	-15.206671	7.290730	11.542562
 - 	572	-13.483411	7.346962	10.941138
 - 	573	-11.435064	7.088341	10.118616
 - 	574	-9.100775	6.713551	8.853494
 - 	575	-6.653223	6.389888	7.150308
 - 	576	-4.352441	6.202233	5.345028
 - 	577	-2.427344	6.134256	3.862193
 - 	578	-0.961869	6.068749	2.897139
 - 	579	0.136415	5.926849	2.339597
 - 	580	1.065260	5.795476	1.949120
 - 	581	1.988092	5.778961	1.575197
 - 	582	2.929065	5.820202	1.220594
 - 	583	3.807173	5.849894	0.927830
 - 	584	4.561464	5.964603	0.677570
 - 	585	5.211108	6.262140	0.432579
 - 	586	5.804912	6.640516	0.214017
 - 	587	6.359365	6.923370	0.074202
 - 	588	6.856242	7.117040	0.030189
 - 	589	7.265804	7.464971	0.077882
 - 	590	7.556494	8.250291	0.249798
 - 	591	7.720527	9.530772	0.586405
 - 	592	7.826298	11.081790	1.025383
 - 	593	7.988089	12.662755	1.385663
 - 	594	8.140885	14.284125	1.549953
 - 	595	7.793630	15.981562	1.685196
 - 	596	6.234652	17.215998	2.224852
 - 	597	3.343019	16.795149	3.527133
 - 	598	0.210522	13.839893	5.459565
 - 	599	-1.439314	8.875378	7.348538
 - 	600	-0.646268	3.642246	8.460219
 - 	601	2.140458	-0.269413	8.583704
 - 	602	5.728985	-2.434148	8.123129
 - 	603	9.148018	-3.386577	7.661090
 - 	604	11.989669	-3.820550	7.500412
 - 	605	14.230283	-4.096662	7.589612
 - 	606	15.969807	-4.255258	7.751210
 - 	607	17.281307	-4.235731	7.871094
 - 	608	18.167961	-4.026711	7.885883
 - 	609	18.583183	-3.668424	7.714377
 - 	610	18.466068	-3.169653	7.302171
 - 	611	17.759686	-2.466644	6.721258
 - 	612	16.417324	-1.493579	6.178885
 - 	613	14.418541	-0.279627	5.909967
 - 	614	11.786638	1.043371	6.026181
 - 	615	8.581611	2.293932	6.435548
 - 	616	4.884949	3.278456	6.917244
 - 	617	0.818591	3.839778	7.273755
 - 	618	-3.421417	3.930024	7.407095
 - 	619	-7.585340	3.643033	7.322559
 - 	620	-11.445208	3.213063	7.143752
 - 	621	-14.848150	3.004099	7.095181
 - 	622	-17.702139	3.364542	7.400859
 - 	623	-19.917727	4.304998	8.191596
 - 	624	-21.364414	5.354263	9.461143
 - 	625	-21.914066	5.945092	10.991676
 - 	626	-21.575388	5.977890	12.339933
 - 	627	-20.576796	5.864432	13.061695
 - 	628	-19.258024	6.043264	13.006971
 - 	629	-17.855274	6.581351	12.356402
 - 	630	-16.400597	7.186806	11.426051
 - 	631	-14.807088	7.480629	10.483400
 - 	632	-13.006528	7.287835	9.631889
 - 	633	-11.004683	6.747405	8.747390
 - 	634	-8.861811	6.142572	7.574736
 - 	635	-6.674695	5.627832	6.001694
 - 	636	-4.576401	5.169344	4.254566
